drug	mode	measure	mean	std
Ciprofloxacin	gpa_expr	F1-score_micro	0.30	0.64
Ciprofloxacin	gpa_expr	neg_recall	0.09	0.87
Ciprofloxacin	gpa_expr	npv	0.11	0.66
Ciprofloxacin	gpa_expr	pos_recall	0.28	0.59
Ciprofloxacin	gpa_expr	precision	0.33	0.71
Ciprofloxacin	gpa_expr_snps	auc	0.14	0.88
Ciprofloxacin	gpa_expr_snps	balanced_accuracy	0.12	0.85
Ciprofloxacin	gpa_expr_snps	F1-score_macro	0.18	0.83
Ciprofloxacin	gpa_expr_snps	F1-score_micro	0.28	0.80
Ciprofloxacin	gpa_expr_snps	neg_recall	0.05	0.88
Ciprofloxacin	gpa_expr_snps	npv	0.15	0.84
Ciprofloxacin	gpa_expr_snps	pos_recall	0.29	0.81
Ciprofloxacin	gpa_expr_snps	precision	0.28	0.80
Ciprofloxacin	gpa_snps	auc	0.18	0.83
Ciprofloxacin	gpa_snps	balanced_accuracy	0.16	0.79
Ciprofloxacin	gpa_snps	F1-score_macro	0.24	0.75
Ciprofloxacin	gpa_snps	F1-score_micro	0.38	0.68
Ciprofloxacin	gpa_snps	neg_recall	0.06	0.89
Ciprofloxacin	gpa_snps	npv	0.19	0.78
Ciprofloxacin	gpa_snps	pos_recall	0.39	0.69
Ciprofloxacin	gpa_snps	precision	0.36	0.70
Ciprofloxacin	snps	auc	0.18	0.83
Ciprofloxacin	snps	balanced_accuracy	0.16	0.79
Ciprofloxacin	snps	F1-score_macro	0.24	0.75
Ciprofloxacin	snps	F1-score_micro	0.38	0.69
Ciprofloxacin	snps	neg_recall	0.06	0.89
Ciprofloxacin	snps	npv	0.19	0.78
Ciprofloxacin	snps	pos_recall	0.39	0.69
Ciprofloxacin	snps	precision	0.37	0.70
Colistin	expr	auc	0.15	0.76
Colistin	expr	balanced_accuracy	0.11	0.69
Colistin	expr	F1-score_macro	0.12	0.66
Colistin	expr	F1-score_micro	0.25	0.45
Colistin	expr	neg_recall	0.10	0.86
Colistin	expr	npv	0.05	0.88
Colistin	expr	pos_recall	0.28	0.52
Colistin	expr	precision	0.23	0.41
Colistin	expr_snps	auc	0.11	0.70
Colistin	expr_snps	balanced_accuracy	0.08	0.62
Colistin	expr_snps	F1-score_macro	0.09	0.60
Colistin	expr_snps	F1-score_micro	0.19	0.35
Colistin	expr_snps	neg_recall	0.10	0.86
Colistin	expr_snps	npv	0.04	0.84
Colistin	expr_snps	pos_recall	0.24	0.39
Colistin	expr_snps	precision	0.18	0.34
Colistin	gpa	auc	0.11	0.62
Colistin	gpa	balanced_accuracy	0.08	0.59
Colistin	gpa	F1-score_macro	0.09	0.55
Colistin	gpa	F1-score_micro	0.22	0.27
Colistin	gpa	neg_recall	0.14	0.85
Colistin	gpa	npv	0.04	0.83
Colistin	gpa	pos_recall	0.28	0.33
Colistin	gpa	precision	0.19	0.24
Colistin	gpa_expr	auc	0.11	0.69
Colistin	gpa_expr	balanced_accuracy	0.07	0.62
Colistin	gpa_expr	F1-score_macro	0.09	0.59
Colistin	gpa_expr	F1-score_micro	0.19	0.34
Colistin	gpa_expr	neg_recall	0.09	0.86
Colistin	gpa_expr	npv	0.04	0.84
Colistin	gpa_expr	pos_recall	0.23	0.38
Colistin	gpa_expr	precision	0.18	0.33
Colistin	gpa_expr_snps	auc	0.11	0.69
Colistin	gpa_expr_snps	balanced_accuracy	0.08	0.61
Colistin	gpa_expr_snps	F1-score_macro	0.09	0.59
Colistin	gpa_expr_snps	F1-score_micro	0.19	0.34
Colistin	gpa_expr_snps	neg_recall	0.10	0.85
Colistin	gpa_expr_snps	npv	0.04	0.84
Colistin	gpa_expr_snps	pos_recall	0.24	0.38
Colistin	gpa_expr_snps	precision	0.17	0.32
Colistin	gpa_snps	auc	0.12	0.65
Colistin	gpa_snps	balanced_accuracy	0.08	0.61
