final all	Tobramycin_S-vs-R	Ceftazidim_S-vs-R	Ciprofloxacin_S-vs-R	Meropenem_S-vs-R	Colistin_S-vs-R
ESP015	0.0	0.0	0.0	0.0	0
ESP020	0.0	0.0	0.0	0.0	0
ESP021	0.0	0.0	0.0	0.0	0
ESP022	0.0	0.0	0.0	0.0	0
ESP023	0.0	1.0		1.0	0
ESP024	0.0	0.0	0.0	0.0	0
ESP025	1.0	1.0	0.0	1.0	0
ESP027	0.0	1.0	0.0	0.0	0
ESP028	0.0	0.0	0.0	0.0	1
ESP029	0.0	0.0	0.0	0.0	0
ESP031	0.0	0.0	0.0	0.0	0
ESP032	0.0	0.0	0.0	0.0	0
ESP033	0.0	0.0	0.0	0.0	0
ESP034	0.0	0.0	0.0	0.0	0
ESP035	0.0	0.0	0.0	0.0	0
ESP036	0.0	0.0	0.0	0.0	0
ESP037	0.0	0.0	0.0	0.0	0
ESP038	0.0	0.0		0.0	0
ESP039	0.0	0.0	1.0	0.0	0
ESP040		0.0	1.0	0.0	1
ESP043	1.0		1.0	0.0	0
ESP044	0.0	0.0	0.0		0
ESP046	0.0	0.0	0.0	0.0	0
ESP047	1.0		1.0		0
ESP050	0.0	0.0	1.0	0.0	0
ESP053	1.0	0.0	1.0	1.0	0
ESP055	0.0	0.0	0.0	1.0	0
ESP057	0.0	0.0			0
ESP058	0.0		0.0	0.0	1
ESP059	0.0		1.0	1.0	0
ESP060	1.0		0.0	1.0	0
ESP061	1.0		1.0	1.0	0
ESP063	1.0		1.0	1.0	0
ESP064	1.0	1.0	1.0	1.0	0
ESP066	0.0	0.0	1.0		0
ESP067	0.0	0.0	0.0	1.0	0
ESP068	1.0	1.0	1.0	1.0	0
ESP069	1.0	1.0	1.0	1.0	1
ESP070	0.0	1.0	1.0	1.0	0
ESP071		0.0	1.0		0
ESP072	0.0	1.0	0.0	1.0	0
ESP073	0.0	1.0	1.0	1.0	0
ESP074	1.0	1.0	1.0	1.0	0
ESP075	0.0		1.0		0
ESP076	0.0	1.0	0.0		0
ESP077	1.0	1.0	0.0	1.0	0
ESP078	1.0	1.0	1.0	1.0	0
ESP079	1.0		1.0	1.0	0
ESP081	0.0			1.0	0
ESP082	1.0		1.0	1.0	0
ESP083	1.0		1.0	1.0	0
ESP084	1.0		1.0	1.0	0
ESP088	1.0	1.0	1.0	1.0	0
ESP091	0.0	0.0	1.0	1.0	0
F1659	0.0	0.0	1.0		0
F1688	0.0	1.0	1.0	1.0	0
F1689	0.0	1.0	1.0	1.0	0
F1697	1.0	1.0	1.0	1.0	0
F1706	0.0	1.0		1.0	0
F1712	1.0	1.0	1.0	1.0	0
F1724	1.0	1.0	1.0	1.0	0
F1727	0.0	1.0	0.0	1.0	0
F1741	1.0	1.0	1.0	1.0	0
F1745	1.0	1.0	1.0	1.0	0
F1746	1.0	1.0	1.0	1.0	0
F1747	1.0	1.0	1.0	1.0	0
F1748	0.0	1.0	1.0	1.0	0
F1752	1.0	1.0	1.0	1.0	0
F1754	1.0	1.0	1.0	1.0	0
F1757	0.0	1.0	1.0	1.0	0
F1758	0.0	1.0	0.0	0.0	0
F1759	0.0		1.0	1.0	0
F1760	1.0	1.0	1.0	1.0	0
F1763	1.0	1.0	1.0	0.0	0
F1764	0.0	1.0		1.0	1
F1775	0.0	1.0	1.0	1.0	0
F1787	1.0	1.0	1.0	1.0	0
F1789	1.0	1.0	1.0	1.0	1
F1795	1.0	1.0	1.0	1.0	0
F1796	1.0		1.0	1.0	0
F1798	1.0		1.0	1.0	0
F1800	0.0		0.0		0
