final all	TOB	CIP	MEM	CAZ	TOB_c	CIP_c	MEM_c	CAZ_c	TOB_e	CIP_e	MEM_e	CAZ_e
CF592_Iso2	2	0.125	4	128	S	S	I	R	S	S	I	R
CF609_Iso3	8	1	16	32	I	S	R	R	R	R	R	R
CH2500	0.5	8	2	4	S	R	S	S	S	R	S	S
CH2502	4	2	64	16	S	I	R	I	S	R	R	R
CH2522	2	2	4	32	S	I	I	R	S	R	I	R
CH2527	0.5	0.25	2	4	S	S	S	S	S	S	S	S
CH2543	512	16	32	4	R	R	R	S	R	R	R	S
CH2560	512	8	1	64	R	R	S	R	R	R	S	R
CH2582	0.5	4	4	1	S	R	I	S	S	R	I	S
CH2591	1024	16	8	256	R	R	R	R	R	R	I	R
CH2597	1	2	1	16	S	I	S	I	S	R	S	R
CH2598	1	0.25	8	2	S	S	R	S	S	S	I	S
CH2608	1024	16	8	32	R	R	R	R	R	R	I	R
CH2623	256	16	16	16	R	R	R	I	R	R	R	R
CH2639	1024	32	8	128	R	R	R	R	R	R	I	R
CH2657	256	8	64	4	R	R	R	S	R	R	R	S
CH2658	1	8	8	16	S	R	R	I	S	R	I	R
CH2660	0.25	1	8	64	S	S	R	R	S	R	I	R
CH2665	512	128	64	512	R	R	R	R	R	R	R	R
CH2672	0.125	16	8	2	S	R	R	S	S	R	I	S
CH2674	256	64	16	16	R	R	R	I	R	R	R	R
CH2675	1024	32	128	16	R	R	R	I	R	R	R	R
CH2677	0.25	64	8	8	S	R	R	S	S	R	I	S
CH2678	4	16	0.125	8	S	R	S	S	S	R	S	S
CH2680	1	1	1	16	S	S	S	I	S	R	S	R
CH2682	2	0.5	32	16	S	S	R	I	S	S	R	R
CH2685	2	0.5	16	8	S	S	R	S	S	S	R	S
CH2687	1	16	16	4	S	R	R	S	S	R	R	S
CH2690	2	1	1	8	S	S	S	S	S	R	S	S
CH2698	64	8	8	4	R	R	R	S	R	R	I	S
CH2699	64	16	64	16	R	R	R	I	R	R	R	R
CH2705	512	32	32	1024	R	R	R	R	R	R	R	R
CH2706	256	32	256	512	R	R	R	R	R	R	R	R
CH2707	512	0.25	8	256	R	S	R	R	R	S	I	R
CH2713	1	1	16	8	S	S	R	S	S	R	R	S
CH2718	1	0.25	4	2	S	S	I	S	S	S	I	S
CH2724	2	0.125	8	2	S	S	R	S	S	S	I	S
CH2730	0.25	0.06	4	2	S	S	I	S	S	S	I	S
CH2734	2	4	0.25	16	S	R	S	I	S	R	S	R
CH2735	0.25	8	8	2	S	R	R	S	S	R	I	S
CH2747	0.5	0.5	32	4	S	S	R	S	S	S	R	S
CH2748	512	16	8	16	R	R	R	I	R	R	I	R
CH2756	2	0.25	1	1	S	S	S	S	S	S	S	S
CH2764	2	0.5	0.5	64	S	S	S	R	S	S	S	R
CH2824	1	0.5	32	8	S	S	R	S	S	S	R	S
CH2829	1	1	0.5	1	S	S	S	S	S	R	S	S
CH2848	2	1	2	16	S	S	S	I	S	R	S	R
CH2860	1	8	32	128	S	R	R	R	S	R	R	R
CH2875	32	2	64	8	R	I	R	S	R	R	R	S
CH2922	0.5	0.25	0.5	8	S	S	S	S	S	S	S	S
CH2939	2	0.125	0.25	3	S	S	S	S	S	S	S	S
CH3173	1024	32	1	128	R	R	S	R	R	R	S	R
CH3177	0.25	0.25	8	2	S	S	R	S	S	S	I	S
CH3290	32	8	16	16	R	R	R	I	R	R	R	R
CH3325	0.25	0.5	8	32	S	S	R	R	S	S	I	R
CH3462	0.5	0.125	8	8	S	S	R	S	S	S	I	S
CH3466	0.5	4	16	16	S	R	R	I	S	R	R	R
CH3484	0.25	2	8	8	S	I	R	S	S	R	I	S
CH3549	0.5	1	4	8	S	S	I	S	S	R	I	S
CH3570	128	64	2	32	R	R	S	R	R	R	S	R
CH3613	128	16	64	32	R	R	R	R	R	R	R	R
CH3648	64	16	2	128	R	R	S	R	R	R	S	R
CH3797	2	16	64	16	S	R	R	I	S	R	R	R
CH3882	1	4	4	8	S	R	I	S	S	R	I	S
CH3906	2	0.5	2	8	S	S	S	S	S	S	S	S
CH4035	512	4	4	128	R	R	I	R	R	R	I	R
CH4083	1	1	32	16	S	S	R	I	S	R	R	R
CH4411	256	8	1	64	R	R	S	R	R	R	S	R
CH4418	0.5	0.25	1	16	S	S	S	I	S	S	S	R
CH4433	512	8	1	128	R	R	S	R	R	R	S	R
CH4438	2	8	4	32	S	R	I	R	S	R	I	R
CH4443	256	8	1	64	R	R	S	R	R	R	S	R
