final all	Tobramycin_S-vs-R	Ceftazidim_S-vs-R	Ciprofloxacin_S-vs-R	Meropenem_S-vs-R	Tobramycin_SI-vs-R	Ceftazidim_SI-vs-R	Ciprofloxacin_SI-vs-R	Meropenem_SI-vs-R	Tobramycin_S-vs-IR	Ceftazidim_S-vs-IR	Ciprofloxacin_S-vs-IR	Meropenem_S-vs-IR	Tobramycin_S-vs-I	Ceftazidim_S-vs-I	Ciprofloxacin_S-vs-I	Meropenem_S-vs-I	Tobramycin_I-vs-R	Ceftazidim_I-vs-R	Ciprofloxacin_I-vs-R	Meropenem_I-vs-R	Tobramycin_I-vs-SR	Ceftazidim_I-vs-SR	Ciprofloxacin_I-vs-SR	Meropenem_I-vs-SR
CH2608	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH2623	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
CH2639	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH2657	1.0	0.0	1.0	1.0	1	0	1	1	1	0	1	1		0.0			1.0		1.0	1.0	1	1	1	1
CH2658	0.0		1.0	1.0	0	0	1	1	0	1	1	1	0.0	1.0				0.0	1.0	1.0	1	0	1	1
CH2660	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
CH2665	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH2672	0.0	0.0	1.0	1.0	0	0	1	1	0	0	1	1	0.0	0.0					1.0	1.0	1	1	1	1
CH2674	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
CH2675	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
CH2677	0.0	0.0	1.0	1.0	0	0	1	1	0	0	1	1	0.0	0.0					1.0	1.0	1	1	1	1
CH2678	0.0	0.0	1.0	0.0	0	0	1	0	0	0	1	0	0.0	0.0		0.0			1.0		1	1	1	1
CH2680	0.0		0.0	0.0	0	0	0	0	0	1	0	0	0.0	1.0	0.0	0.0		0.0			1	0	1	1
CH2682	0.0		0.0	1.0	0	0	0	1	0	1	0	1	0.0	1.0	0.0			0.0		1.0	1	0	1	1
CH2685	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
